,Player,Games Played,Goals,Assists,Minutes per Goal,Total Minutes Played,Current Market Value,Market Value at Purchase,Age_x,Height_x,Overall,Potential,International Reputation,Weak Foot,Skill Moves,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
0,Kylian Mbappé,26.0,18.0,15.0,122.0,2196.0,176000000.0,132000000.0,23.0,1.78,91.0,95.0,4.0,4.0,5.0,78.0,93.0,72.0,85.0,83.0,93.0,80.0,69.0,71.0,91.0,97.0,97.0,92.0,93.0,83.0,86.0,78.0,88.0,77.0,82.0,62.0,38.0,92.0,82.0,79.0,88.0,34.0,32.0,92.0,26.0
1,Erling Haaland,18.0,21.0,6.0,70.0,1465.0,165000000.0,49500000.0,21.0,1.94,88.0,93.0,4.0,3.0,3.0,47.0,94.0,69.0,77.0,88.0,78.0,77.0,62.0,51.0,85.0,82.0,94.0,75.0,88.0,72.0,94.0,74.0,82.0,93.0,87.0,85.0,43.0,89.0,71.0,76.0,84.0,43.0,30.0,90.0,44.0
3,Mohamed Salah,26.0,23.0,9.0,98.0,2252.0,110000000.0,38500000.0,29.0,1.75,89.0,89.0,4.0,3.0,4.0,79.0,91.0,59.0,84.0,81.0,90.0,83.0,69.0,75.0,89.0,89.0,91.0,91.0,92.0,91.0,82.0,69.0,85.0,75.0,84.0,63.0,55.0,91.0,83.0,86.0,90.0,43.0,41.0,89.0,38.0
4,Harry Kane,28.0,12.0,2.0,187.0,2240.0,110000000.0,550000.0,28.0,1.88,90.0,90.0,4.0,5.0,3.0,80.0,94.0,86.0,85.0,88.0,83.0,83.0,65.0,86.0,85.0,65.0,74.0,71.0,92.0,70.0,91.0,79.0,83.0,85.0,86.0,80.0,44.0,94.0,87.0,91.0,91.0,36.0,38.0,90.0,50.0
6,Romelu Lukaku,22.0,8.0,2.0,179.0,1434.0,110000000.0,110000000.0,28.0,1.91,88.0,88.0,4.0,4.0,3.0,73.0,92.0,89.0,77.0,78.0,83.0,78.0,66.0,70.0,77.0,81.0,87.0,60.0,91.0,52.0,89.0,76.0,71.0,95.0,74.0,71.0,27.0,89.0,75.0,88.0,86.0,41.0,30.0,88.0,30.0
8,Jadon Sancho,23.0,2.0,0.0,624.0,1248.0,93500000.0,110000000.0,21.0,1.8,87.0,91.0,3.0,3.0,5.0,82.0,83.0,38.0,87.0,83.0,92.0,84.0,65.0,70.0,90.0,85.0,78.0,91.0,85.0,90.0,73.0,51.0,77.0,68.0,65.0,44.0,39.0,83.0,87.0,62.0,86.0,39.0,32.0,88.0,32.0
9,Marcus Rashford,15.0,3.0,1.0,282.0,845.0,93500000.0,0.0,24.0,1.85,85.0,89.0,3.0,3.0,5.0,80.0,83.0,68.0,80.0,73.0,86.0,83.0,76.0,71.0,84.0,86.0,93.0,84.0,84.0,75.0,92.0,74.0,86.0,75.0,81.0,73.0,42.0,83.0,81.0,84.0,80.0,38.0,33.0,86.0,45.0
10,Raheem Sterling,26.0,9.0,3.0,182.0,1641.0,93500000.0,44000000.0,27.0,1.7,88.0,89.0,4.0,3.0,4.0,79.0,85.0,46.0,83.0,67.0,87.0,79.0,72.0,69.0,86.0,95.0,88.0,94.0,90.0,93.0,78.0,57.0,79.0,64.0,83.0,59.0,30.0,91.0,82.0,67.0,78.0,53.0,47.0,88.0,47.0
11,Lautaro Martínez,25.0,12.0,2.0,139.0,1665.0,88000000.0,27500000.0,24.0,1.74,85.0,89.0,3.0,4.0,4.0,56.0,85.0,87.0,78.0,88.0,83.0,78.0,43.0,73.0,85.0,86.0,83.0,86.0,89.0,89.0,80.0,88.0,80.0,84.0,74.0,86.0,45.0,86.0,81.0,74.0,83.0,31.0,44.0,87.0,55.0
12,Jack Grealish,22.0,3.0,3.0,529.0,1586.0,88000000.0,71500000.0,26.0,1.8,84.0,85.0,3.0,3.0,4.0,81.0,77.0,36.0,85.0,72.0,89.0,78.0,74.0,82.0,88.0,81.0,79.0,85.0,79.0,84.0,76.0,36.0,80.0,61.0,80.0,60.0,44.0,81.0,85.0,58.0,88.0,49.0,43.0,85.0,48.0
13,Sadio Mané,26.0,10.0,1.0,205.0,2052.0,88000000.0,22000000.0,29.0,1.74,89.0,89.0,4.0,4.0,4.0,78.0,86.0,84.0,84.0,75.0,90.0,77.0,64.0,71.0,88.0,93.0,90.0,93.0,91.0,88.0,83.0,87.0,85.0,72.0,80.0,75.0,35.0,90.0,84.0,71.0,84.0,42.0,38.0,89.0,42.0
15,Heung-min Son,25.0,9.0,5.0,200.0,1804.0,88000000.0,17600000.0,29.0,1.84,89.0,89.0,4.0,5.0,4.0,83.0,88.0,68.0,84.0,78.0,87.0,85.0,74.0,74.0,84.0,85.0,90.0,86.0,91.0,78.0,88.0,60.0,88.0,64.0,89.0,62.0,39.0,91.0,83.0,73.0,89.0,34.0,33.0,89.0,50.0
18,Federico Chiesa,18.0,4.0,4.0,301.0,1204.0,77000000.0,77000000.0,24.0,1.75,83.0,91.0,3.0,4.0,4.0,73.0,79.0,50.0,78.0,80.0,89.0,78.0,52.0,72.0,82.0,91.0,91.0,87.0,83.0,81.0,86.0,53.0,85.0,71.0,84.0,69.0,30.0,81.0,75.0,62.0,78.0,44.0,44.0,85.0,65.0
19,Leroy Sané,27.0,11.0,13.0,168.0,1846.0,77000000.0,88000000.0,26.0,1.83,84.0,87.0,3.0,2.0,4.0,83.0,81.0,72.0,81.0,85.0,87.0,83.0,82.0,64.0,84.0,91.0,89.0,84.0,79.0,79.0,87.0,64.0,68.0,70.0,78.0,63.0,34.0,84.0,82.0,71.0,80.0,32.0,35.0,85.0,36.0
20,Serge Gnabry,26.0,11.0,7.0,136.0,1498.0,77000000.0,22000000.0,26.0,1.76,85.0,86.0,4.0,4.0,4.0,74.0,86.0,42.0,82.0,83.0,88.0,74.0,62.0,78.0,83.0,90.0,77.0,87.0,86.0,88.0,87.0,65.0,78.0,68.0,82.0,63.0,38.0,86.0,83.0,68.0,80.0,44.0,43.0,85.0,45.0
21,Ansu Fati,9.0,5.0,1.0,84.0,420.0,66000000.0,55000000.0,19.0,1.78,76.0,90.0,2.0,4.0,4.0,69.0,80.0,58.0,72.0,59.0,79.0,64.0,45.0,69.0,76.0,90.0,87.0,89.0,74.0,81.0,68.0,73.0,63.0,48.0,70.0,48.0,19.0,69.0,67.0,74.0,76.0,32.0,28.0,77.0,23.0
22,João Félix,18.0,3.0,2.0,309.0,928.0,66000000.0,77000000.0,22.0,1.8,83.0,91.0,2.0,4.0,5.0,73.0,79.0,69.0,80.0,81.0,86.0,82.0,64.0,67.0,87.0,81.0,83.0,86.0,83.0,79.0,80.0,73.0,75.0,64.0,80.0,68.0,38.0,84.0,82.0,68.0,84.0,42.0,35.0,84.0,30.0
24,Victor Osimhen,14.0,9.0,2.0,113.0,1018.0,66000000.0,44000000.0,23.0,1.86,80.0,87.0,2.0,4.0,3.0,64.0,85.0,78.0,69.0,75.0,74.0,63.0,48.0,53.0,77.0,83.0,92.0,77.0,78.0,68.0,78.0,88.0,80.0,82.0,72.0,76.0,34.0,81.0,65.0,75.0,72.0,38.0,19.0,82.0,36.0
25,Gabriel Jesus,24.0,6.0,9.0,247.0,1479.0,66000000.0,17600000.0,24.0,1.75,83.0,87.0,2.0,3.0,4.0,66.0,84.0,77.0,77.0,77.0,86.0,76.0,54.0,66.0,86.0,87.0,82.0,91.0,86.0,87.0,82.0,79.0,79.0,69.0,76.0,73.0,32.0,87.0,77.0,75.0,79.0,30.0,28.0,85.0,45.0
26,Diogo Jota,25.0,12.0,2.0,149.0,1792.0,66000000.0,30800000.0,25.0,1.78,82.0,87.0,2.0,5.0,4.0,71.0,84.0,77.0,75.0,78.0,85.0,77.0,58.0,71.0,85.0,88.0,81.0,87.0,84.0,86.0,84.0,76.0,81.0,71.0,75.0,85.0,56.0,85.0,75.0,63.0,83.0,57.0,45.0,84.0,54.0
27,Lionel Messi,16.0,6.0,5.0,219.0,1315.0,66000000.0,88000000.0,34.0,1.69,93.0,93.0,5.0,4.0,4.0,85.0,95.0,70.0,91.0,88.0,96.0,93.0,94.0,91.0,96.0,91.0,80.0,91.0,94.0,95.0,86.0,68.0,72.0,69.0,94.0,44.0,40.0,93.0,95.0,75.0,96.0,35.0,24.0,93.0,20.0
28,Richarlison,12.0,4.0,2.0,231.0,924.0,60500000.0,27500000.0,24.0,1.84,82.0,87.0,3.0,5.0,4.0,73.0,80.0,83.0,79.0,75.0,86.0,74.0,65.0,61.0,83.0,85.0,81.0,79.0,82.0,73.0,83.0,86.0,83.0,77.0,70.0,84.0,46.0,83.0,74.0,77.0,81.0,58.0,48.0,85.0,45.0
29,Kingsley Coman,17.0,5.0,2.0,181.0,905.0,60500000.0,22000000.0,25.0,1.8,86.0,87.0,4.0,3.0,4.0,79.0,75.0,61.0,80.0,77.0,89.0,83.0,70.0,74.0,88.0,94.0,93.0,91.0,85.0,84.0,80.0,73.0,69.0,64.0,73.0,35.0,23.0,85.0,81.0,70.0,78.0,27.0,21.0,86.0,29.0
30,Jonathan David,27.0,16.0,0.0,128.0,2050.0,55000000.0,27500000.0,22.0,1.8,78.0,86.0,2.0,5.0,3.0,67.0,80.0,72.0,78.0,71.0,79.0,58.0,48.0,70.0,78.0,83.0,87.0,77.0,74.0,71.0,75.0,86.0,85.0,75.0,70.0,33.0,17.0,80.0,73.0,75.0,81.0,21.0,19.0,80.0,21.0
32,Mason Greenwood,22.0,5.0,2.0,309.0,1547.0,55000000.0,0.0,20.0,1.81,78.0,89.0,1.0,5.0,3.0,72.0,77.0,65.0,76.0,68.0,81.0,75.0,65.0,69.0,78.0,83.0,84.0,81.0,77.0,76.0,83.0,67.0,74.0,69.0,78.0,59.0,34.0,79.0,73.0,67.0,76.0,39.0,33.0,79.0,35.0
33,Paulo Dybala,20.0,9.0,4.0,149.0,1343.0,55000000.0,30800000.0,28.0,1.77,87.0,88.0,3.0,3.0,4.0,82.0,85.0,59.0,87.0,88.0,90.0,90.0,88.0,79.0,93.0,88.0,80.0,92.0,80.0,94.0,84.0,75.0,70.0,61.0,89.0,43.0,42.0,82.0,91.0,84.0,79.0,41.0,39.0,89.0,32.0
34,Timo Werner,18.0,6.0,2.0,179.0,1072.0,55000000.0,70400000.0,25.0,1.8,84.0,87.0,3.0,4.0,3.0,69.0,81.0,76.0,79.0,84.0,82.0,70.0,58.0,55.0,84.0,93.0,89.0,82.0,87.0,76.0,85.0,75.0,83.0,65.0,77.0,63.0,37.0,88.0,68.0,78.0,79.0,20.0,19.0,86.0,39.0
35,Antoine Griezmann,22.0,8.0,3.0,184.0,1468.0,55000000.0,55000000.0,30.0,1.76,85.0,85.0,4.0,3.0,4.0,83.0,84.0,83.0,84.0,86.0,85.0,86.0,85.0,82.0,89.0,80.0,80.0,92.0,89.0,83.0,82.0,90.0,86.0,63.0,83.0,73.0,49.0,89.0,85.0,79.0,90.0,54.0,49.0,86.0,43.0
36,Robert Lewandowski,27.0,34.0,3.0,68.0,2325.0,55000000.0,55000000.0,33.0,1.85,92.0,92.0,5.0,4.0,4.0,71.0,95.0,90.0,85.0,89.0,85.0,79.0,85.0,70.0,88.0,77.0,79.0,77.0,93.0,82.0,90.0,85.0,76.0,86.0,87.0,81.0,49.0,95.0,81.0,90.0,88.0,42.0,19.0,92.0,35.0
37,Amine Gouiri,22.0,9.0,6.0,189.0,1699.0,49500000.0,4400000.0,21.0,1.8,78.0,85.0,2.0,3.0,4.0,76.0,81.0,64.0,79.0,76.0,81.0,78.0,74.0,69.0,79.0,82.0,77.0,77.0,77.0,73.0,78.0,70.0,74.0,72.0,79.0,61.0,44.0,81.0,76.0,75.0,77.0,41.0,32.0,81.0,45.0
